59  H  60  H  3.15

60  H  62  H  5.52

24  H  25  H  3.74

31  H  32  H  4.68

49  H  50  H  3.21

51  H  52  H  2.97

52  H  53  H  4.86

89  H  90  H  3.85

92  H  93  H  4.03

128  H  129  H  5.18

129  H  130  H  5.51

132  H  133  H  5.05

135  H  136  H  3.2

140  H  141  H  5.05

141  H  142  H  3.62

145  H  146  H  2.68

146  H  147  H  4.49

153  H  154  H  3.03

156  H  157  H  3.25

170  H  171  H  4.91

189  H  190  H  5.3

30  H  31  H  3.85

47  H  48  H  4.31

48  H  49  H  4.14

56  H  57  H  4.88

75  H  76  H  2.98

82  H  83  H  4.92

136  H  137  H  3.28

154  H  155  H  3.16

191  H  192  H  4.85

62  H  63  H  3.7

66  H  67  H  3.28

74  H  75  H  3.06

83  H  84  H  4.93

87  H  88  H  2.88

88  H  89  H  4.32

91  H  92  H  4.3

109  H  110  H  3.03

124  H  125  H  3.85

131  H  132  H  5.36

158  H  159  H  3.28

164  H  165  H  5.09

167  H  168  H  4.61

169  H  170  H  4.8

192  H  193  H  5.19

27  H  28  H  2.9

45  H  46  H  3.93

63  H  64  H  3.55

71  H  72  H  3.58

73  H  74  H  3.01

76  H  77  H  4.85

78  H  79  H  5.05

86  H  87  H  3.54

90  H  91  H  4.83

110  H  111  H  3.32

111  H  112  H  3.06

155  H  156  H  3.12

162  H  163  H  2.71

163  H  164  H  4.4

165  H  166  H  5.01

166  H  167  H  2.78

168  H  169  H  4.07

172  H  173  H  5.08

174  H  175  H  5.16

186  H  187  H  4.97

153  H  155  H  4.82

156  H  158  H  4.28

153  H  156  H  5.46

156  H  159  H  4.97

162  H  164  H  6.13

73  H  75  H  4.05

84  H  85  H  4.63

26  H  28  H  4.25

184  H  185  H  4.99

85  H  86  H  3.94

107  H  110  H  4.98

68  H  69  H  3.23

67  H  68  H  3.54

107  H  108  H  3.7

108  H  110  H  4.31

155  H  158  H  4.98

93  H  95  H  4.69

108  H  109  H  3.5

110  H  112  H  4.38

112  H  114  H  4.35

112  H  113  H  3.05

79  H  80  H  4.6

140  H  142  H  5.79

138  H  140  H  5.21

139  H  140  H  4.25

23  H  26  H  5.36

137  H  138  H  3.19

138  H  139  H  3.18

137  H  139  H  5.14

135  H  138  H  5.48

136  H  138  H  4.11

148  H  149  H  3.0

146  H  148  H  4.58

145  H  148  H  6.18

149  H  150  H  2.92

146  H  149  H  4.64

117  H  118  H  3.59

116  H  117  H  3.53

114  H  116  H  4.49

94  H  95  HE1  5.52

91  H  94  H  5.8

94  H  95  H  3.7

72  H  73  H  2.97

72  H  75  H  5.04

23  H  24  H  3.77

24  H  24  CG1  4.65

24  H  24  CG1  4.34

25  H  26  H  3.18

26  H  27  H  3.01

24  H  26  H  4.58

33  H  34  H  5.32

34  H  35  H  5.26

22  H  23  H  4.17

22  H  24  H  5.39

120  H  121  H  3.96

44  H  45  H  4.23

43  H  44  H  4.25

43  H  45  H  5.33

42  H  43  H  4.94

100  H  101  H  5.47

64  H  66  H  4.49

69  H  70  H  3.27

53  H  54  H  4.7

44  H  46  H  5.31

60  H  63  H  5.22

76  H  76  CG1  3.86

101  H  102  H  5.1

129  H  129  CD1  6.16

160  CD1  163  H  5.11

48  H  50  H  4.68

50  H  50  CD1  4.49

50  H  50  CD1  5.35

109  H  109  CD1  5.0

137  H  137  CD1  4.56

137  H  137  CD1  5.35

150  H  150  CD1  5.18

159  H  160  H  2.95

160  H  160  CD1  5.64

61  H  62  CG1  4.66

163  CD1  166  H  6.27

186  H  187  CD1  5.14

54  H  55  H  4.95

54  H  54  CG1  4.3

65  H  67  H  4.72

64  H  65  H  3.51

68  H  71  H  5.57

69  H  71  H  4.59

57  H  58  H  5.17

58  H  60  H  5.36

62  CG1  64  H  6.49

62  CG1  64  H  5.41

64  H  64  CD1  5.38

85  H  87  H  4.86

157  H  159  H  4.37

153  H  157  H  5.73

154  H  157  H  5.29

108  H  111  H  5.37

111  H  113  H  4.55

160  H  162  H  5.59

50  H  51  H  3.29

62  CG1  63  H  4.54

